gene	mean_log2_cpm_control	mean_log2_cpm_covid19	log2_cpm_difference	p_value	fdr_bh
SECISBP2	7.1339674841207295	6.537285989490598	-0.5966814946301318	1.007848883643e-05	0.003984301504918136
OBSL1	4.007794716077442	2.4420160887836735	-1.5657786272937688	1.0360451828185872e-05	0.004014739848204423
AL590822.1	1.9087215250713794	0.7561158562805032	-1.1526056687908763	1.0524774472135957e-05	0.004014739848204423
AC097500.1	1.9749342359643038	0.8354796428603929	-1.139454593103911	1.1918995684273842e-05	0.004422446195947717
TRIR	3.8105777152367115	5.37879501925136	1.5682173040146483	1.2000382907644545e-05	0.004422446195947717
JADE3	5.0898365451409475	4.239380461975206	-0.8504560831657413	1.2699412301469257e-05	0.0045820816003647935
MAT2B	2.871423291131911	4.9587557554137245	2.0873324642818134	1.2867423946641162e-05	0.0045820816003647935
HNRNPK	6.086113591397641	7.203775692541502	1.1176621011438606	1.3261799962926102e-05	0.0045820816003647935
DEDD2	2.738719921435853	4.5085049577721685	1.7697850363363155	1.3548636934271931e-05	0.0045820816003647935
MAGOH	3.3436199669242144	4.178098993930094	0.8344790270058797	1.362414146407192e-05	0.0045820816003647935
CA1	4.857719683398244	3.0076488423012044	-1.8500708410970397	1.3697985743628365e-05	0.0045820816003647935
LINC01090	7.030416607765105	4.146955176605016	-2.8834614311600886	1.4353026144161656e-05	0.004641687756412502
AC007736.1	2.3463021849583816	0.915541078858419	-1.4307611060999625	1.4652884488596276e-05	0.004641687756412502
NOD2	2.9707000145869107	4.574928628814075	1.6042286142271647	1.4853179426938529e-05	0.004641687756412502
AC002398.1	1.8203382923699432	0.9002993218466998	-0.9200389705232433	1.5107107310672341e-05	0.004641687756412502
CDC42SE1	5.044334633715122	5.841500267908784	0.7971656341936617	1.517531385829205e-05	0.004641687756412502
CCDC183	3.0127729760542463	1.7439111200045196	-1.2688618560497267	1.5185034414952555e-05	0.004641687756412502
CCT6B	3.7121055798535076	1.9935738452895586	-1.718531734563949	1.551248426198022e-05	0.004641687756412502
LINC01640	2.1794840367638164	0.61270880155786	-1.5667752352059563	1.5700656560260063e-05	0.004641687756412502
UBB	2.9940793497759337	5.849874207591994	2.8557948578160604	1.5872275779544735e-05	0.004641687756412502
AC138150.1	5.277541764630042	3.521898923775504	-1.7556428408545384	1.624373934090851e-05	0.004641687756412502
HSP90AB1	4.80046943552395	7.908222987477689	3.1077535519537394	1.628517388682615e-05	0.004641687756412502
HSPA1B	1.8317717422822324	7.058490526250632	5.2267187839683995	1.6472976949978974e-05	0.004641687756412502
BCL2L14	6.391399992286557	4.948092932784712	-1.4433070595018451	1.6739797793581587e-05	0.004641687756412502
HSPA1A	3.020562549118307	8.40445840946918	5.383895860350874	1.7073471225212744e-05	0.004641687756412502
CCER2	1.1145580636766608	0.3244678060152761	-0.7900902576613846	1.725289481763224e-05	0.004641687756412502
AC004594.1	6.670709787776766	4.773221844767618	-1.897487943009148	1.729185063098067e-05	0.004641687756412502
LANCL2	5.104337908307075	4.254460441504922	-0.8498774668021527	1.753393466724765e-05	0.0046492724569508
PAK2	7.094875760696334	7.619188346301558	0.524312585605224	1.775314497443751e-05	0.004650682303363792
PSMA6	5.952164419778433	6.670910000632669	0.718745580854236	1.844683118122518e-05	0.0047716852139900855
AL050309.1	7.663900150321241	6.691701141168966	-0.9721990091522743	1.865396878025835e-05	0.0047716852139900855
AC129507.4	1.7786227044950589	0.6013727709513149	-1.1772499335437439	1.928299277019726e-05	0.004857633915673924
AL596218.1	3.3671139273834165	1.6897743157870606	-1.677339611596356	1.962507274097902e-05	0.004857633915673924
AL450163.1	3.67149990987177	1.9446148663797898	-1.7268850434919805	1.9747069690716335e-05	0.004857633915673924
C1QL3	2.4391822833774737	0.9037830823653273	-1.5353992010121464	1.9883613967482834e-05	0.004857633915673924
NACA	3.6284301221586737	6.053993120978955	2.4255629988202814	2.0290836055828877e-05	0.004902040537354303
FAM53C	3.952405110897183	4.986953161380945	1.0345480504837616	2.0601869204178192e-05	0.004907049441925624
CCDC9	4.303351236855895	3.6837396453829627	-0.6196115914729323	2.0762937435365745e-05	0.004907049441925624
GRID2IP	3.831963939381256	2.103541453771627	-1.728422485609629	2.1618165936821418e-05	0.005054234214669979
LGALSL-DT	4.347017159475031	2.4764607820695574	-1.8705563774054732	2.3260351569027557e-05	0.005318456593708861
WBP2	3.957845789119714	5.068789615104452	1.1109438259847377	2.3463912812093215e-05	0.005318456593708861
AL353576.1	2.4496876655029047	1.0206478916177	-1.4290397738852048	2.3646804323543075e-05	0.005318456593708861
ARAP1	5.961958497836326	6.959344399498348	0.9973859016620219	2.3887877616343015e-05	0.005318456593708861
ATP5MPL	2.668189354366354	4.582804696017864	1.9146153416515101	2.4345255063647905e-05	0.005318456593708861
SLC20A2	7.668294356353256	6.510086856211583	-1.158207500141673	2.441851880275202e-05	0.005318456593708861
RAP2C	3.90111923638305	4.633759758161395	0.7326405217783454	2.4465751981212017e-05	0.005318456593708861
